***
*** Starting ...
***
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x32 threads, 1024B shared memory, 50 iterations
Copy register->shared, size=      1024, gDim=    1, bDim=   32, bw=  0.19GB/s
***
*** Starting ...
***
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
